,Break and Enter Commercial,Break and Enter Residential/Other,Mischief,Offence Against a Person,Other Theft,Theft from Vehicle,Theft of Bicycle,Theft of Vehicle,Vehicle Collision or Pedestrian Struck (with Injury),Total,Vehicle Collision or Pedestrian Struck (with Fatality),Homicide
0,115,185,266,179,542,561,39,132,79,2098,,
1,119,176,253,180,509,604,153,113,76,2184,1.0,
2,117,212,230,151,543,637,98,112,67,2167,,
3,130,250,297,158,557,715,68,124,95,2396,2.0,
4,81,148,250,203,488,545,160,111,66,2054,1.0,1.0
5,117,154,244,196,549,588,48,121,67,2086,1.0,1.0
6,113,202,243,167,502,678,92,113,69,2180,1.0,
7,112,191,254,186,567,626,135,110,67,2248,,
8,95,198,258,173,481,617,128,146,72,2168,,
9,134,218,271,231,622,641,89,136,55,2400,,3.0
10,134,193,268,174,533,611,122,139,62,2237,1.0,
11,99,205,237,182,521,573,55,111,80,2064,,1.0
12,126,178,282,181,558,639,63,127,56,2212,1.0,1.0
13,127,190,272,181,552,692,91,116,96,2318,,1.0
14,133,238,251,173,540,741,66,117,81,2342,1.0,1.0
15,135,207,252,152,542,761,56,136,67,2310,2.0,
16,143,193,284,185,604,645,58,136,60,2308,,
17,146,175,246,180,580,618,38,106,67,2159,,3.0
18,129,212,270,161,544,669,109,109,67,2273,1.0,2.0
19,115,213,249,194,560,631,117,106,70,2256,,1.0
20,99,145,239,200,492,490,110,121,77,1977,3.0,1.0
21,120,194,248,180,591,675,150,135,60,2356,2.0,1.0
22,133,204,237,187,567,608,87,116,70,2211,1.0,1.0
23,113,178,275,196,502,674,130,126,74,2269,1.0,
24,112,194,247,191,485,610,73,109,85,2107,1.0,
25,117,192,239,182,514,627,96,132,89,2189,1.0,
26,108,168,244,203,449,530,92,103,92,1990,1.0,
27,103,168,253,191,452,542,122,122,83,2038,2.0,
28,134,204,234,186,590,741,150,117,88,2444,,
29,139,224,265,230,627,677,66,151,84,2469,2.0,4.0
30,124,178,248,170,508,531,58,119,71,2007,,
31,150,199,294,181,555,635,40,113,69,2237,1.0,
32,104,199,224,189,574,634,176,106,62,2268,,
33,121,202,249,184,513,658,153,121,71,2272,,
34,139,210,239,157,559,698,79,106,90,2278,,1.0
35,129,190,287,178,561,614,76,112,79,2229,2.0,1.0
36,134,208,252,191,592,629,44,112,54,2218,1.0,1.0
37,97,160,265,178,501,534,140,99,81,2057,,2.0
38,96,156,225,165,475,554,35,87,82,1878,3.0,
39,143,203,264,185,584,661,42,116,54,2257,2.0,3.0
40,119,209,249,190,512,653,63,91,60,2147,1.0,
41,128,218,254,183,482,648,34,99,78,2125,,1.0
42,114,206,258,189,603,616,144,128,62,2322,1.0,1.0
43,106,215,230,150,504,686,41,107,103,2144,1.0,1.0
44,104,152,232,161,500,519,47,104,58,1878,,1.0
45,121,218,223,159,556,567,45,136,77,2103,,1.0
46,132,165,249,213,475,587,46,133,65,2067,,2.0
47,112,169,238,206,567,629,156,138,91,2306,,
48,121,185,243,192,607,664,88,110,72,2285,1.0,2.0
49,112,181,246,169,461,643,130,119,73,2135,1.0,
50,105,192,290,193,546,680,91,125,77,2299,,
51,114,170,268,166,475,607,116,115,70,2102,,1.0
52,111,169,272,158,538,637,137,104,86,2214,1.0,1.0
53,113,193,218,179,528,680,35,115,72,2135,,2.0
54,120,187,262,189,562,565,151,119,75,2230,,
55,84,166,217,156,459,565,46,103,91,1887,,
56,148,221,305,173,521,683,91,131,67,2341,,1.0
57,110,163,240,176,539,614,151,109,57,2161,2.0,
58,125,171,223,185,523,589,72,109,55,2052,,
59,78,198,218,193,458,470,39,119,73,1848,1.0,1.0
60,161,194,293,170,546,679,85,152,66,2347,,1.0
61,139,169,255,185,570,609,89,114,86,2220,3.0,1.0
62,113,165,260,225,454,595,146,118,62,2139,1.0,
63,80,174,218,147,448,519,60,117,86,1849,,
64,101,214,227,218,496,619,96,104,98,2176,1.0,2.0
65,119,141,212,137,437,583,29,93,39,1790,,
66,112,133,180,163,203,453,16,85,40,1386,1.0,
67,98,162,238,211,457,482,123,126,76,1975,1.0,1.0
68,103,167,254,195,499,570,121,100,75,2085,1.0,
69,102,146,266,187,532,559,73,91,77,2034,1.0,
70,129,202,222,179,566,596,56,140,77,2173,2.0,4.0
71,130,180,242,157,557,648,172,108,85,2279,,
72,115,208,251,170,555,655,159,115,80,2308,,
73,128,214,292,155,632,701,74,128,57,2383,,2.0
74,107,198,258,188,435,487,37,114,81,1905,,
75,132,202,248,169,549,640,39,120,77,2181,1.0,4.0
76,101,143,265,202,485,522,79,125,71,1994,1.0,
77,118,198,239,170,540,558,104,102,75,2105,1.0,
78,121,194,255,195,517,569,43,120,69,2083,,
79,137,173,225,173,552,571,104,122,73,2130,,
80,84,187,239,158,516,570,146,95,82,2078,1.0,
81,120,193,263,182,561,597,126,142,70,2254,,
82,125,206,235,182,509,645,37,155,71,2168,,3.0
83,110,206,243,196,557,619,43,118,66,2160,2.0,
